0040MSA ABILENE, TX                                                   122478  
0060MSA AGUADILLA, PR                                                 145484  
0080PMSAAKRON, OH                                                   28689435  
0120MSA ALBANY, GA                                                    117421  
0160MSA ALBANY-SCHENECTADY-TROY, NY                                   869474  
0200MSA ALBUQUERQUE, NM                                               678820  
0220MSA ALEXANDRIA, LA                                                126775  
0240MSA ALLENTOWN-BETHLEHEM-EASTON, PA                                618350  
0280MSA ALTOONA, PA                                                   129937  
0320MSA AMARILLO, TX                                                  208691  
0380MSA ANCHORAGE, AK                                                 257808  
0440PMSAANN ARBOR, MI                                               35557349  
0450MSA ANNISTON, AL                                                  116541  
0460MSA APPLETON-OSHKOSH-NEENAH, WI                                   348100  
0470PMSAARECIBO, PR                                                 87176426  
0480MSA ASHEVILLE, NC                                                 215180  
0500MSA ATHENS, GA                                                    140372  
0520MSA ATLANTA, GA                                                   3857097 
0560PMSAATLANTIC-CAPE MAY, NJ                                       77337635  
0580MSA Auburn-Opelika, AL                                            115092  
0600MSA AUGUSTA-AIKEN, GA-SC                                          460826  
0640MSA AUSTIN-SAN MARCOS, TX                                         1146050 
0680MSA BAKERSFIELD, CA                                               642495  
0720PMSABALTIMORE, MD                                               972491254 
0730MSA BANGOR, ME                                                    91672   
0740MSA BARNSTABLE-YARMOUTH, MA                                       153750  
0760MSA BATON ROUGE, LA                                               578946  
0840MSA BEAUMONT-PORT ARTHUR, TX                                      376256  
0860MSA BELLINGHAM, WA                                                160310  
0870MSA BENTON HARBOR, MI                                             159709  
0875PMSABERGEN-PASSAIC, NJ                                          701342116 
0880MSA BILLINGS, MT                                                  127258  
0920MSA BILOXI-GULFPORT-PASCAGOULA, MS                                353205  
0960MSA BINGHAMTON, NY                                                247462  
1000MSA BIRMINGHAM, AL                                                915077  
1010MSA BISMARCK, ND                                                  91939   
1020MSA BLOOMINGTON, IN                                               116923  
1040MSA BLOOMINGTON-NORMAL, IL                                        145477  
1080MSA BOISE CITY, ID                                                407844  
1120PMSABOSTON, MA-NH                                               073297201 
1122CMSABOSTON-WORCESTER-LAWRENCE, MA-NH-ME-CT                      075667225 
1125PMSABOULDER-LONGMONT, CO                                        34273112  
1145PMSABRAZORIA, TX                                                42234303  
1150PMSABREMERTON, WA                                               91236560  
1160PMSABRIDGEPORT, CT                                              70446046  
1200PMSABROCKTON, MA                                                07253547  
1240MSA BROWNSVILLE-HARLINGEN-SAN BENITO, TX                          329131  
1260MSA BRYAN-COLLEGE STATION, TX                                     134213  
1280MSA BUFFALO-NIAGARA FALLS, NY                                     1142121 
1305MSA BURLINGTON, VT                                                165917  
1310PMSACAGUAS, PR                                                  87318779  
1320MSA CANTON-MASSILLON, OH                                          402460  
1350MSA CASPER, WY                                                    63157   
1360MSA CEDAR RAPIDS, IA                                              184891  
1400MSA CHAMPAIGN-URBANA, IL                                          170272  
1440MSA CHARLESTON-NORTH CHARLESTON, SC                               552803  
1480MSA CHARLESTON, WV                                                251199  
1520MSA CHARLOTTE-GASTONIA-ROCK HILL, NC-SC                           1417217 
1540MSA CHARLOTTESVILLE, VA                                           151267  
1560MSA CHATTANOOGA, TN-GA                                            452034  
1580MSA CHEYENNE, WY                                                  78877   
1600PMSACHICAGO, IL                                                 148008507 
1602CMSACHICAGO-GARY-KENOSHA, IL-IN-WI                              148885919 
1620MSA CHICO-PARADISE, CA                                            195220  
1640PMSACINCINNATI, OH-KY-IN                                        211627509 
1642CMSACINCINNATI-HAMILTON, OH-KY-IN                               211960995 
1660MSA CLARKSVILLE-HOPKINSVILLE, TN-KY                               201352  
1680PMSACLEVELAND-LORAIN-ELYRIA, OH                                 282221181 
1692CMSACLEVELAND-AKRON, OH                                         282910616 
1720MSA COLORADO SPRINGS, CO                                          499994  
1740MSA COLUMBIA, MO                                                  130179  
1760MSA COLUMBIA, SC                                                  516251  
1800MSA COLUMBUS, GA-AL                                               271417  
1840MSA COLUMBUS, OH                                                  1489487 
1880MSA CORPUS CHRISTI, TX                                            387105  
1890MSA Corvallis, OR                                                 78153   
1900MSA CUMBERLAND, MD-WV                                             98231   
1920PMSADALLAS, TX                                                  313280310 
1922CMSADALLAS-FORT WORTH, TX                                       314909523 
1930PMSADANBURY, CT                                                 70204543  
1950MSA DANVILLE, VA                                                  107555  
1960MSA DAVENPORT-MOLINE-ROCK ISLAND, IA-IL                           358842  
2000MSA DAYTON-SPRINGFIELD, OH                                        958698  
2020MSA DAYTONA BEACH, FL                                             474711  
